x1,x2
2.06,4.93
7.51,4.84
4.08,4.63
4.28,6.93
5.55,7.14
3.97,5.33
6.89,7.08
4.29,4.28
2.86,6.88
2.59,8.06
4.12,4.65
5.32,9.1
5.34,4.54
6.41,8.52
7.88,8.26
6.64,7.72
3.54,7.75
5.35,7.35
3.43,4.75
5.45,8.31
6.49,4.27
6.57,9.92
4.23,5.5
2.44,4.85
4.86,9.65
2.16,5.26
6.83,5.8
3.53,4.07
6.56,6.58
6.29,4.1
3.11,5.26
3.12,9.93
5.32,7.39
6.7,4.44
4.49,6.78
5.92,6.51
2.39,9.98
3.84,8.43
7.42,4.41
4.24,4.52
6.97,5.18
2.91,7.78
2.23,5.78
3.91,7.03
5.28,9.74
2.99,7.19
2.67,6.92
3.62,5.83
6.72,4.39
7.8,6.97
11.64,10.95
10.17,8.02
7.26,13.62
7.09,9.82
11.84,10.2
10.02,9.8
9.64,12.12
8.52,13.05
7.44,11.38
7.5,13.88
8.97,8.53
6.65,9.22
9.78,13.81
11.32,10.02
8.3,10.16
11.45,11.83
10.68,13.49
10.7,11.23
6.07,9.77
8.03,8.57
6.44,13.94
11.96,10.25
6.34,10.58
6.52,12.59
9.13,13.31
8.13,11.09
10.7,9.25
10.27,12.81
10.28,9.97
6.22,12.22
10.29,13.14
6.09,10.52
8.9,9.54
9.9,8.63
8.19,11.23
8.93,11.39
6.79,10.97
7.26,8.93
7.88,9.81
7.68,12.3
7.38,12.1
11.96,12.46
7.25,9.13
11.04,9.34
7.36,10.01
9.67,13.46
11.1,9.42
11.79,12.65
9.94,8.47
6.87,9.63
1,1
2,13
12,3
